# x 		 Approximate y 	 Exact y 	 Error
0.0000	1.0000	1.0000	0.0000
0.0250	0.9500	0.9512	0.0012
0.0500	0.9025	0.9048	0.0023
0.0750	0.8574	0.8607	0.0033
0.1000	0.8145	0.8188	0.0042
0.1250	0.7738	0.7788	0.0050
0.1500	0.7352	0.7409	0.0058
0.1750	0.6985	0.7049	0.0064
0.2000	0.6636	0.6706	0.0070
0.2250	0.6306	0.6380	0.0074
0.2500	0.5992	0.6071	0.0079
0.2750	0.5695	0.5778	0.0083
0.3000	0.5413	0.5499	0.0086
0.3250	0.5146	0.5235	0.0089
0.3500	0.4894	0.4984	0.0091
0.3750	0.4654	0.4747	0.0093
0.4000	0.4428	0.4522	0.0094
0.4250	0.4214	0.4309	0.0095
0.4500	0.4011	0.4107	0.0096
0.4750	0.3820	0.3917	0.0097
0.5000	0.3639	0.3736	0.0097
0.5250	0.3469	0.3566	0.0097
0.5500	0.3308	0.3405	0.0097
0.5750	0.3156	0.3253	0.0097
0.6000	0.3014	0.3110	0.0096
0.6250	0.2879	0.2974	0.0095
0.6500	0.2753	0.2847	0.0094
0.6750	0.2634	0.2727	0.0093
0.7000	0.2522	0.2614	0.0092
0.7250	0.2417	0.2508	0.0091
0.7500	0.2319	0.2408	0.0089
0.7750	0.2226	0.2314	0.0088
0.8000	0.2140	0.2226	0.0086
0.8250	0.2058	0.2143	0.0084
0.8500	0.1982	0.2065	0.0083
0.8750	0.1911	0.1992	0.0081
0.9000	0.1845	0.1924	0.0079
0.9250	0.1783	0.1860	0.0077
0.9500	0.1725	0.1800	0.0075
0.9750	0.1671	0.1744	0.0074
