0.79 -8.48744 -9.98686 25.4683 -8.48745 -9.98686 25.4683
0.8 -8.63549 -10.0957 25.6466 -8.6355 -10.0957 25.6467
0.81 -8.77916 -10.1907 25.8435 -8.77917 -10.1907 25.8435
0.82 -8.91745 -10.2698 26.0569 -8.91745 -10.2698 26.0569
0.83 -9.04926 -10.3312 26.2846 -9.04927 -10.3312 26.2846
0.84 -9.17345 -10.3731 26.524 -9.17345 -10.3731 26.524
0.85 -9.2888 -10.3941 26.7721 -9.2888 -10.3941 26.7722
0.86 -9.39411 -10.393 27.026 -9.39412 -10.393 27.026
0.87 -9.4882 -10.3691 27.2823 -9.4882 -10.3691 27.2823
0.88 -9.56992 -10.3218 27.5375 -9.56992 -10.3218 27.5375
0.89 -9.63824 -10.2512 27.788 -9.63824 -10.2512 27.788
0.9 -9.69223 -10.1579 28.0303 -9.69224 -10.1579 28.0303
0.91 -9.73114 -10.0426 28.261 -9.73114 -10.0426 28.261
0.92 -9.75436 -9.90674 28.4765 -9.75436 -9.90674 28.4765
0.93 -9.76152 -9.75214 28.6739 -9.76152 -9.75213 28.6739
0.94 -9.75247 -9.58091 28.8503 -9.75247 -9.5809 28.8503
0.95 -9.72728 -9.39555 29.0032 -9.72728 -9.39554 29.0032
0.96 -9.68627 -9.19878 29.1307 -9.68627 -9.19877 29.1307
0.97 -9.63 -8.99352 29.2312 -9.63 -8.99351 29.2312
0.98 -9.55927 -8.7828 29.3036 -9.55927 -8.78279 29.3036
0.99 -9.47508 -8.56965 29.3474 -9.47507 -8.56964 29.3474
1 -9.37862 -8.35706 29.3624 -9.37861 -8.35705 29.3624
1.01 -9.27125 -8.14789 29.3491 -9.27124 -8.14788 29.3491
1.02 -9.15446 -7.9448 29.3083 -9.15446 -7.94479 29.3083
1.03 -9.02986 -7.75023 29.2411 -9.02985 -7.75022 29.2411
1.04 -8.8991 -7.56633 29.149 -8.89909 -7.56632 29.149
1.05 -8.76387 -7.39498 29.0337 -8.76387 -7.39497 29.0337
1.06 -8.62588 -7.23771 28.8973 -8.62587 -7.2377 28.8973
1.07 -8.48679 -7.09578 28.7419 -8.48678 -7.09577 28.7419
1.08 -8.3482 -6.97014 28.5696 -8.3482 -6.97013 28.5696
1.09 -8.21167 -6.86145 28.3827 -8.21166 -6.86145 28.3827
1.1 -8.07862 -6.77015 28.1835 -8.07862 -6.77015 28.1835
1.11 -7.9504 -6.69643 27.9742 -7.9504 -6.69643 27.9742
1.12 -7.82822 -6.6403 27.757 -7.82821 -6.6403 27.757
1.13 -7.71316 -6.60159 27.5342 -7.71316 -6.60159 27.5342
1.14 -7.6062 -6.58001 27.3076 -7.6062 -6.58001 27.3076
1.15 -7.50818 -6.57517 27.0794 -7.50818 -6.57517 27.0794
1.16 -7.41982 -6.58658 26.8513 -7.41982 -6.58658 26.8513
1.17 -7.34172 -6.6137 26.6253 -7.34171 -6.61371 26.6253
1.18 -7.27436 -6.65596 26.403 -7.27436 -6.65596 26.403
1.19 -7.21815 -6.71272 26.186 -7.21814 -6.71272 26.186
1.2 -7.17336 -6.78335 25.976 -7.17336 -6.78336 25.976
1.21 -7.1402 -6.86721 25.7743 -7.1402 -6.86721 25.7743
1.22 -7.11879 -6.96362 25.5825 -7.11879 -6.96362 25.5825
1.23 -7.10917 -7.0719 25.4018 -7.10917 -7.07191 25.4018
1.24 -7.11131 -7.19136 25.2337 -7.11131 -7.19137 25.2337
1.25 -7.12514 -7.32128 25.0792 -7.12514 -7.32128 25.0792
1.26 -7.15048 -7.46089 24.9398 -7.15048 -7.4609 24.9398
1.27 -7.18714 -7.60942 24.8165 -7.18714 -7.60943 24.8165
1.28 -7.23484 -7.76602 24.7104 -7.23484 -7.76603 24.7104
1.29 -7.29326 -7.92978 24.6227 -7.29326 -7.92979 24.6227
1.3 -7.36201 -8.09972 24.5542 -7.36201 -8.09973 24.5542
1.31 -7.44064 -8.27477 24.506 -7.44064 -8.27478 24.506
1.32 -7.52865 -8.45377 24.4789 -7.52866 -8.45378 24.4789
1.33 -7.62546 -8.63544 24.4736 -7.62546 -8.63545 24.4736
1.34 -7.73042 -8.81838 24.4908 -7.73042 -8.81839 24.4908
1.35 -7.8428 -9.0011 24.531 -7.8428 -9.0011 24.531
1.36 -7.96179 -9.18193 24.5944 -7.9618 -9.18194 24.5944
1.37 -8.08651 -9.35914 24.6814 -8.08652 -9.35915 24.6814
1.38 -8.21598 -9.53083 24.7917 -8.21598 -9.53084 24.7917
1.39 -8.34911 -9.69503 24.9251 -8.34912 -9.69504 24.9251
1.4 -8.48476 -9.84968 25.081 -8.48477 -9.84969 25.081
1.41 -8.62167 -9.99266 25.2585 -8.62167 -9.99267 25.2586
1.42 -8.7585 -10.1218 25.4565 -8.75851 -10.1218 25.4565
1.43 -8.89385 -10.2351 25.6733 -8.89386 -10.2351 25.6733
1.44 -9.02624 -10.3303 25.9071 -9.02625 -10.3303 25.9072
1.45 -9.15415 -10.4057 26.1557 -9.15416 -10.4057 26.1557
1.46 -9.27602 -10.4593 26.4164 -9.27603 -10.4593 26.4164
1.47 -9.39029 -10.4898 26.6862 -9.3903 -10.4898 26.6862
1.48 -9.49542 -10.4959 26.962 -9.49542 -10.4959 26.962
1.49 -9.58991 -10.4768 27.2403 -9.58991 -10.4768 27.2403
1.5 -9.67234 -10.432 27.5174 -9.67235 -10.432 27.5174
1.51 -9.74143 -10.3616 27.7895 -9.74144 -10.3616 27.7895
1.52 -9.79602 -10.2661 28.0527 -9.79603 -10.2661 28.0528
1.53 -9.83515 -10.1464 28.3034 -9.83515 -10.1464 28.3034
1.54 -9.85805 -10.004 28.5379 -9.85805 -10.004 28.5379
1.55 -9.86421 -9.84096 28.7527 -9.86421 -9.84096 28.7527
1.56 -9.85336 -9.65956 28.9449 -9.85336 -9.65955 28.9449
1.57 -9.8255 -9.46253 29.1118 -9.8255 -9.46252 29.1118
1.58 -9.7809 -9.25288 29.2511 -9.7809 -9.25287 29.2511
1.59 -9.72012 -9.03382 29.3613 -9.72012 -9.03381 29.3613
1.6 -9.64395 -8.80869 29.4411 -9.64395 -8.80868 29.4411
1.61 -9.55345 -8.58081 29.49 -9.55345 -8.58079 29.49
1.62 -9.44988 -8.35346 29.5079 -9.44987 -8.35344 29.5079
1.63 -9.33468 -8.12976 29.4952 -9.33467 -8.12975 29.4952
1.64 -9.20945 -7.91264 29.4529 -9.20944 -7.91263 29.4529
1.65 -9.0759 -7.70473 29.3823 -9.0759 -7.70472 29.3823
1.66 -8.93582 -7.50835 29.285 -8.93581 -7.50834 29.285
1.67 -8.79102 -7.32551 29.163 -8.79101 -7.3255 29.163
