0 1 1 1
0.01 1.04764 1.99046 0.988707
0.02 1.18828 3.06399 0.990418
0.03 1.4254 4.31216 1.01167
0.04 1.7711 5.83302 1.06467
0.05 2.24629 7.73919 1.17053
0.06 2.88164 10.1659 1.36521
0.07 3.71922 13.2793 1.70937
0.08 4.81468 17.2836 2.30504
0.09 6.23989 22.4267 3.32283
0.1 8.08549 28.9958 5.04558
0.11 10.4619 37.2933 7.93538
0.12 13.4959 47.5644 12.728
0.13 17.3165 59.8297 20.5431
0.14 22.0189 73.5487 32.9481
0.15 27.5886 87.053 51.7945
0.16 33.7707 96.8692 78.4667
0.17 39.9055 97.5902 112.171
0.18 44.8498 83.677 147.769
0.19 47.2083 53.8259 175.729
0.2 45.9669 14.5623 187.068
0.21 41.1197 -22.6515 180.236
0.22 33.6649 -49.3053 161.921
0.23 24.975 -63.9865 141.09
0.24 16.1662 -70.0179 123.736
0.25 7.87108 -71.4783 112.123
0.26 0.328136 -71.157 106.34
0.27 -6.435 -70.277 105.724
0.28 -12.4485 -68.8678 109.474
0.29 -17.7027 -66.2093 116.702
0.3 -22.1015 -61.2645 126.229
0.31 -25.4633 -53.1652 136.433
0.32 -27.5704 -41.7223 145.354
0.33 -28.255 -27.7413 151.163
0.34 -27.4865 -12.8803 152.792
0.35 -25.4124 0.959045 150.307
0.36 -22.3295 12.3383 144.746
0.37 -18.6038 20.6556 137.57
0.38 -14.5851 26.0668 130.104
0.39 -10.5514 29.1582 123.249
0.4 -6.6914 30.6228 117.467
0.41 -3.11298 31.0647 112.892
0.42 0.136037 30.9262 109.476
0.43 3.04665 30.4914 107.087
0.44 5.63133 29.9175 105.571
0.45 7.91171 29.2723 104.778
0.46 9.91081 28.5661 104.571
0.47 11.6487 27.776 104.823
0.48 13.1404 26.8646 105.412
0.49 14.396 25.7946 106.222
0.5 15.4216 24.5397 107.135
0.51 16.2207 23.0917 108.04
0.52 16.7972 21.4654 108.832
0.53 17.1569 19.6982 109.42
0.54 17.3096 17.847 109.736
0.55 17.2703 15.9815 109.736
0.56 17.0595 14.1753 109.402
0.57 16.7026 12.4981 108.744
0.58 16.2288 11.0081 107.79
0.59 15.6691 9.74783 106.584
0.6 15.0549 8.74283 105.178
0.61 14.4163 8.00249 103.625
0.62 13.7807 7.523 101.975
0.63 13.1721 7.29104 100.274
0.64 12.6106 7.2876 98.5596
0.65 12.1123 7.49123 96.865
0.66 11.69 7.8807 95.2163
0.67 11.3532 8.43672 93.6362
0.68 11.1086 9.14298 92.1443
0.69 10.9614 9.98651 90.7593
0.7 10.9146 10.9575 89.4995
0.71 10.9705 12.0487 88.3848
0.72 11.1306 13.2545 87.437
0.73 11.3955 14.5695 86.6809
0.74 11.7653 15.9869 86.1445
0.75 12.2394 17.4964 85.8594
0.76 12.8158 19.082 85.8602
0.77 13.491 20.7188 86.1836
0.78 14.2588 22.3704 86.8659
0.79 15.1094 23.9858 87.9401
0.8 16.0284 25.4974 89.4299
0.81 16.9953 26.8203 91.3433
0.82 17.983 27.8544 93.6642
0.83 18.9568 28.4906 96.3432
0.84 19.8748 28.622 99.2905
0.85 20.6898 28.1595 102.373
0.86 21.3521 27.0507 105.42
0.87 21.8146 25.2979 108.235
0.88 22.0374 22.9681 110.622
0.89 21.9946 20.1931 112.409
0.9 21.6775 17.1545 113.481
0.91 21.0969 14.0573 113.791
0.92 20.2821 11.0996 113.363
0.93 19.277 8.44542 112.284
0.94 18.1344 6.20794 110.676
0.95 16.9103 4.44521 108.679
0.96 15.6585 3.16623 106.425
0.97 14.4264 2.34334 104.029
0.98 13.2534 1.92636 101.579
0.99 12.1696 1.85522 99.1393
1 11.1964 2.06958 96.7539
1.01 10.3478 2.51503 94.4493
1.02 9.6316 3.14645 92.241
1.03 9.05124 3.9293 90.1382
1.04 8.60691 4.83952 88.1467
1.05 8.29703 5.86272 86.272
1.06 8.11921 6.99294 84.5211
1.07 8.07106 8.23131 82.9037
1.08 8.15083 9.58463 81.4337
1.09 8.35778 11.0639 80.1304
1.1 8.69245 12.6828 79.0192
1.11 9.15666 14.4554 78.1334
1.12 9.75334 16.3944 77.515
1.13 10.4861 18.507 77.2165
1.14 11.3586 20.7913 77.3012
1.15 12.3731 23.2295 77.8435
1.16 13.529 25.7815 78.927
1.17 14.8205 28.3746 80.6391
1.18 16.2334 30.8951 83.0616
1.19 17.7418 33.1801 86.2537
1.2 19.3043 35.0157 90.2287
1.21 20.8608 36.1471 94.9238
1.22 22.3319 36.3065 100.171
1.23 23.6214 35.2613 105.679
1.24 24.6245 32.8787 111.042
1.25 25.2411 29.1877 115.788
1.26 25.3928 24.4123 119.463
1.27 25.0389 18.9516 121.731
1.28 24.1858 13.3037 122.45
1.29 22.8876 7.95838 121.693
1.3 21.235 3.29993 119.706
1.31 19.3394 -0.446994 116.83
1.32 17.3148 -3.21896 113.413
1.33 15.2641 -5.07775 109.753
1.34 13.2704 -6.16014 106.068
1.35 11.3944 -6.63212 102.495
1.36 9.67478 -6.65681 99.105
1.37 8.13226 -6.3766 95.9237
1.38 6.77318 -5.90635 92.9477
1.39 5.59375 -5.33335 90.1591
1.4 4.58342 -4.72064 87.5345
1.41 3.72765 -4.11154 85.0503
1.42 3.00993 -3.53409 82.6855
1.43 2.41321 -3.005 80.4224
1.44 1.92091 -2.53281 78.2471
1.45 1.51752 -2.12042 76.1488
1.46 1.18888 -1.76699 74.1191
1.47 0.922421 -1.46934 72.1519
1.48 0.707124 -1.22299 70.2425
1.49 0.533479 -1.02291 68.3873
