0 1
0.1 0.9
0.2 0.83
0.3 0.781898
0.4 0.749725
0.5 0.729027
0.6 0.716431
0.7 0.709349
0.8 0.70576
0.9 0.704065
1 0.702983
1.1 0.701477
1.2 0.698705
1.3 0.693981
1.4 0.686753
1.5 0.676583
1.6 0.663132
1.7 0.646153
1.8 0.625484
1.9 0.601038
2 0.5728
2.1 0.540823
2.2 0.505223
2.3 0.466174
2.4 0.423902
2.5 0.378686
2.6 0.330845
2.7 0.280743
2.8 0.228773
2.9 0.175361
3 0.120956
3.1 0.0660256
3.2 0.0110501
3.3 -0.043483
3.4 -0.0970839
3.5 -0.149267
3.6 -0.199556
3.7 -0.247488
3.8 -0.292621
3.9 -0.334537
4 -0.372845
4.1 -0.407191
4.2 -0.437253
4.3 -0.462754
4.4 -0.483459
4.5 -0.499176
4.6 -0.509765
4.7 -0.515135
4.8 -0.515244
4.9 -0.510102
5 -0.499771
5.1 -0.484364
5.2 -0.464043
5.3 -0.439017
5.4 -0.409545
5.5 -0.375927
5.6 -0.338503
5.7 -0.297653
5.8 -0.253789
5.9 -0.207354
6 -0.158815
6.1 -0.10866
6.2 -0.057393
6.3 -0.00552947
6.4 0.0464104
6.5 0.0979055
6.6 0.148439
6.7 0.197506
6.8 0.244612
6.9 0.289287
7 0.331083
7.1 0.36958
7.2 0.404395
7.3 0.435176
7.4 0.461617
7.5 0.483452
7.6 0.500463
7.7 0.512478
7.8 0.519378
7.9 0.521093
8 0.517605
8.1 0.508949
8.2 0.49521
8.3 0.476527
8.4 0.453085
8.5 0.425118
8.6 0.392905
8.7 0.356769
8.8 0.31707
8.9 0.274204
9 0.228599
9.1 0.180712
9.2 0.13102
9.3 0.0800204
9.4 0.028222
9.5 -0.0238577
9.6 -0.0756983
9.7 -0.126782
9.8 -0.176598
9.9 -0.224649
10 -0.270455
